HMSL Small Mol HMS LINCS ID,HMSL Small Mol Name,Gene ID,Binding Class,HUGO Gene Symbol
10169-999,Doramapimod,25,3,ABL1
10171-101,TGX221,25,10,ABL1
10175-101,Sunitinib,25,2,ABL1
10175-106,Sunitinib,25,2,ABL1
10175-999,Sunitinib,25,2,ABL1
10176-101,Y-27632,25,3,ABL1
10177-101,Brivanib,25,3,ABL1
10177-999,Brivanib,25,3,ABL1
10180-101,CHIR-99021,25,2,ABL1
10181-101,GDC-0879,25,3,ABL1
10181-999,GDC-0879,25,3,ABL1
10182-101,Linifanib,25,3,ABL1
10182-999,Linifanib,25,3,ABL1
10187-101,Ki20227,25,2,ABL1
10187-999,Ki20227,25,2,ABL1
10189-101,Bosutinib,25,1,ABL1
10189-999,Bosutinib,25,1,ABL1
10192-101,KW2449,25,1,ABL1
10192-999,KW2449,25,1,ABL1
10198-101,Vandetanib,25,1,ABL1
10198-999,Vandetanib,25,1,ABL1
10201-101,CH5424802,25,10,ABL1
10206-101,RAF 265,25,3,ABL1
10206-999,RAF 265,25,3,ABL1
10207-101,NVP-TAE226,25,3,ABL1
10208-101,JNK-IN-5A,25,10,ABL1
10210-101,Go 6976,25,2,ABL1
10212-101,KIN001-021,25,10,ABL1
10213-101,KIN001-111,25,2,ABL1
10220-101,PKC412,25,3,ABL1
10220-999,PKC412,25,3,ABL1
10223-101,AG1478,25,2,ABL1
10226-101,Tofacitinib,25,3,ABL1
10226-108,Tofacitinib,25,3,ABL1
10226-999,Tofacitinib,25,3,ABL1
10229-101,KU63794,25,10,ABL1
10230-101,Lestaurtinib,25,2,ABL1
10230-999,Lestaurtinib,25,2,ABL1
10232-101,Dactolisib,25,3,ABL1
10255-101,GSK1838705A,25,10,ABL1
10255-999,GSK1838705A,25,10,ABL1
10282-101,Vorinostat,25,10,ABL1
10285-101,PHA-767491,25,3,ABL1
10286-102,BS-181,25,10,ABL1
10287-101,Dinaciclib,25,10,ABL1
10298-101,LFM-A13/DDE-28,25,10,ABL1
10350-101,(s)-CR8,25,10,ABL1
10351-101,DCC-2036,25,2,ABL1
10356-101,5z-7-oxozeaenol,25,10,ABL1
10380-101,NMS-1286937,25,10,ABL1
10385-101,S-Ruxolitinib,25,3,ABL1
10391-101,Alisertib,25,2,ABL1
10393-101,AT9283,25,1,ABL1
10394-101,Ceritinib,25,3,ABL1
10401-101,GW2580,25,10,ABL1
10405-101,PP1,25,2,ABL1
10408-101,Sotrastaurin,25,3,ABL1
10426-101,Barasertib,25,3,ABL1
10441-101,SB202190,25,10,ABL1
10443-101,Axitinib,25,1,ABL1
10444-101,Cediranib,25,1,ABL1
10445-101,Taselisib,25,10,ABL1
10453-101,URMC-099,25,1,ABL1
10467-101,JNJ-10198409,25,1,ABL1
10511-999,Mebendazole,25,3,ABL1
10001-101,Seliciclib,27,10,ABL2
10002-101,ALW-II-38-3,27,2,ABL2
10004-101,AT-7519,27,10,ABL2
10004-102,AT-7519,27,10,ABL2
10004-999,AT-7519,27,10,ABL2
10008-101,Sorafenib,27,3,ABL2
10008-104,Sorafenib,27,3,ABL2
10008-999,Sorafenib,27,3,ABL2
10010-101,CP724714,27,10,ABL2
10011-101,Alvocidib,27,10,ABL2
10011-999,Alvocidib,27,10,ABL2
10012-101,GSK429286A,27,10,ABL2
10013-101,GSK461364,27,10,ABL2
10013-999,GSK461364,27,10,ABL2
10014-101,GW843682X,27,10,ABL2
10016-101,HG-5-88-01,27,10,ABL2
10017-101,HG-6-64-01,27,2,ABL2
10018-101,Neratinib,27,10,ABL2
10018-999,Neratinib,27,10,ABL2
10020-101,Dasatinib,27,1,ABL2
10020-999,Dasatinib,27,1,ABL2
10021-101,Tozasertib,27,1,ABL2
10021-999,Tozasertib,27,1,ABL2
10023-103,Imatinib,27,1,ABL2
10023-999,Imatinib,27,1,ABL2
10024-101,NVP-TAE684,27,2,ABL2
10024-999,NVP-TAE684,27,2,ABL2
10025-101,CGP60474,27,10,ABL2
10026-101,PD173074,27,10,ABL2
10027-101,Crizotinib,27,2,ABL2
10027-999,Crizotinib,27,2,ABL2
10028-102,BMS345541,27,10,ABL2
10028-999,BMS345541,27,10,ABL2
10035-101,Sigma A6730,27,10,ABL2
10035-109,Sigma A6730,27,10,ABL2
10037-101,AC220,27,10,ABL2
10037-999,AC220,27,10,ABL2
10038-101,WH-4-023,27,2,ABL2
10040-101,R406,27,2,ABL2
10040-999,R406,27,2,ABL2
10041-101,BI-2536,27,10,ABL2
10041-999,BI-2536,27,10,ABL2
10042-101,Motesanib,27,3,ABL2
10042-999,Motesanib,27,3,ABL2
10043-101,KIN001-127,27,10,ABL2
10045-101,A443654,27,10,ABL2
10047-101,Pictilisib,27,10,ABL2
10047-999,Pictilisib,27,10,ABL2
10048-101,PD184352,27,10,ABL2
10048-999,PD184352,27,10,ABL2
10049-101,PLX-4720,27,3,ABL2
10049-999,PLX-4720,27,3,ABL2
10051-104,Lapatinib,27,10,ABL2
10051-999,Lapatinib,27,10,ABL2
10053-101,ZSTK474,27,10,ABL2
10056-101,Selumetinib,27,10,ABL2
10056-999,Selumetinib,27,10,ABL2
10058-101,CG-930,27,10,ABL2
10059-101,AZD-6482,27,10,ABL2
10061-101,NU7441,27,10,ABL2
10064-101,WYE-125132,27,10,ABL2
10066-101,MLN8054,27,3,ABL2
10066-999,MLN8054,27,3,ABL2
10067-101,Barasertib,27,10,ABL2
10067-999,Barasertib,27,10,ABL2
10069-101,Enzastaurin,27,10,ABL2
10069-999,Enzastaurin,27,10,ABL2
10070-101,NPK76-II-72-1,27,10,ABL2
10071-101,Palbociclib,27,10,ABL2
10071-102,Palbociclib,27,10,ABL2
10073-101,PHA-793887,27,10,ABL2
10075-101,QL-X-138,27,10,ABL2
10079-101,Torin1,27,10,ABL2
10080-101,Torin2,27,10,ABL2
10083-101,WZ-7043,27,10,ABL2
10084-101,WZ3105,27,10,ABL2
10085-101,WZ4002,27,10,ABL2
10086-101,XMD11-50,27,10,ABL2
10087-101,XMD11-85h,27,10,ABL2
10088-101,XMD13-2,27,10,ABL2
10089-101,XMD14-99,27,10,ABL2
10090-101,XMD15-27,27,10,ABL2
10093-101,XMD8-85,27,10,ABL2
10094-101,XMD8-92,27,10,ABL2
10095-101,ZG-10,27,10,ABL2
10096-101,ZM-447439,27,10,ABL2
10097-101,Erlotinib,27,2,ABL2
10097-102,Erlotinib,27,2,ABL2
10097-999,Erlotinib,27,2,ABL2
10098-101,Gefitinib,27,3,ABL2
10098-999,Gefitinib,27,3,ABL2
10099-101,Nilotinib,27,1,ABL2
10099-999,Nilotinib,27,1,ABL2
10101-101,PD0325901,27,10,ABL2
10103-101,Staurosporine,27,2,ABL2
10103-999,Staurosporine,27,2,ABL2
10104-101,RO-3306,27,10,ABL2
10105-101,MPS-1-IN-1,27,10,ABL2
10114-101,Pazopanib,27,3,ABL2
10114-102,Pazopanib,27,3,ABL2
10114-999,Pazopanib,27,3,ABL2
10115-102,LDN-193189,27,2,ABL2
10120-102,Canertinib,27,2,ABL2
10120-999,Canertinib,27,2,ABL2
10123-101,SGX523,27,10,ABL2
10123-999,SGX523,27,10,ABL2
10125-101,PHA-665752,27,3,ABL2
10125-999,PHA-665752,27,3,ABL2
10126-101,PI103,27,10,ABL2
10126-102,PI103,27,10,ABL2
10126-999,PI103,27,10,ABL2
10128-101,GSK 690693,27,10,ABL2
10128-999,GSK 690693,27,10,ABL2
10130-101,Masitinib,27,2,ABL2
10130-999,Masitinib,27,2,ABL2
10132-101,SNS-032,27,10,ABL2
10132-999,SNS-032,27,10,ABL2
10133-101,Afatinib,27,10,ABL2
10133-999,Afatinib,27,10,ABL2
10138-101,Ruxolitinib,27,10,ABL2
10138-105,Ruxolitinib,27,10,ABL2
10138-999,Ruxolitinib,27,10,ABL2
10141-101,Fedratinib,27,2,ABL2
10141-999,Fedratinib,27,2,ABL2
10146-101,Omipalisib,27,10,ABL2
10147-101,Buparlisib,27,10,ABL2
10150-101,Ponatinib,27,1,ABL2
10151-101,Nintedanib,27,3,ABL2
10151-999,Nintedanib,27,3,ABL2
10157-101,Foretinib,27,1,ABL2
10157-999,Foretinib,27,1,ABL2
10159-101,Pelitinib,27,2,ABL2
10162-101,SP600125,27,10,ABL2
10167-101,SB 203580,27,10,ABL2
10167-999,SB 203580,27,10,ABL2
10168-101,VX-745,27,3,ABL2
10168-999,VX-745,27,3,ABL2
10169-101,Doramapimod,27,3,ABL2
10169-999,Doramapimod,27,3,ABL2
10171-101,TGX221,27,10,ABL2
10172-101,GSK1059615,27,10,ABL2
10175-101,Sunitinib,27,3,ABL2
10175-106,Sunitinib,27,3,ABL2
10175-999,Sunitinib,27,3,ABL2
10177-101,Brivanib,27,3,ABL2
10177-999,Brivanib,27,3,ABL2
10181-101,GDC-0879,27,10,ABL2
10181-999,GDC-0879,27,10,ABL2
10182-101,Linifanib,27,10,ABL2
10182-999,Linifanib,27,10,ABL2
10187-101,Ki20227,27,2,ABL2
10187-999,Ki20227,27,2,ABL2
10189-101,Bosutinib,27,1,ABL2
10189-999,Bosutinib,27,1,ABL2
10192-101,KW2449,27,2,ABL2
10192-999,KW2449,27,2,ABL2
10198-101,Vandetanib,27,1,ABL2
10198-999,Vandetanib,27,1,ABL2
10206-101,RAF 265,27,3,ABL2
10206-999,RAF 265,27,3,ABL2
10208-101,JNK-IN-5A,27,10,ABL2
10212-101,KIN001-021,27,10,ABL2
10213-101,KIN001-111,27,2,ABL2
10214-101,KIN001-123,27,10,ABL2
10220-101,PKC412,27,10,ABL2
10220-999,PKC412,27,10,ABL2
10223-101,AG1478,27,2,ABL2
10226-101,Tofacitinib,27,10,ABL2
10226-108,Tofacitinib,27,10,ABL2
10226-999,Tofacitinib,27,10,ABL2
10229-101,KU63794,27,10,ABL2
10230-101,Lestaurtinib,27,3,ABL2
10230-999,Lestaurtinib,27,3,ABL2
10232-101,Dactolisib,27,10,ABL2
10233-101,Alpelisib,27,10,ABL2
10255-101,GSK1838705A,27,10,ABL2
10255-999,GSK1838705A,27,10,ABL2
10285-101,PHA-767491,27,10,ABL2
10286-102,BS-181,27,10,ABL2
10287-101,Dinaciclib,27,10,ABL2
10341-101,HG-14-8-02,27,10,ABL2
10350-101,(s)-CR8,27,10,ABL2
10356-101,5z-7-oxozeaenol,27,10,ABL2
10363-101,JNK-IN-8,27,10,ABL2
10364-101,MRT67307,27,10,ABL2
10401-101,GW2580,27,10,ABL2
10441-101,SB202190,27,10,ABL2
10443-101,Axitinib,27,1,ABL2
10444-101,Cediranib,27,2,ABL2
10445-101,Taselisib,27,10,ABL2
10291-101,Shikonin,38,10,ACAT1
10291-101,Shikonin,39,10,ACAT2
10246-101,CPT-11,43,1,ACHE
10001-101,Seliciclib,90,10,ACVR1
10002-101,ALW-II-38-3,90,10,ACVR1
10003-101,ALW-II-49-7,90,10,ACVR1
10004-101,AT-7519,90,10,ACVR1
10004-102,AT-7519,90,10,ACVR1
10004-999,AT-7519,90,10,ACVR1
10008-101,Sorafenib,90,10,ACVR1
10008-104,Sorafenib,90,10,ACVR1
10008-999,Sorafenib,90,10,ACVR1
10010-101,CP724714,90,10,ACVR1
10011-101,Alvocidib,90,3,ACVR1
10011-999,Alvocidib,90,3,ACVR1
10012-101,GSK429286A,90,10,ACVR1
10013-101,GSK461364,90,10,ACVR1
10013-999,GSK461364,90,10,ACVR1
10015-101,HG-5-113-01,90,10,ACVR1
10016-101,HG-5-88-01,90,10,ACVR1
10017-101,HG-6-64-01,90,10,ACVR1
10018-101,Neratinib,90,10,ACVR1
10018-999,Neratinib,90,10,ACVR1
10019-101,JW-7-24-1,90,10,ACVR1
10020-101,Dasatinib,90,2,ACVR1
10020-999,Dasatinib,90,2,ACVR1
10021-101,Tozasertib,90,3,ACVR1
10021-999,Tozasertib,90,3,ACVR1
10023-103,Imatinib,90,10,ACVR1
10023-999,Imatinib,90,10,ACVR1
10024-101,NVP-TAE684,90,1,ACVR1
10024-999,NVP-TAE684,90,1,ACVR1
10025-101,CGP60474,90,10,ACVR1
10026-101,PD173074,90,10,ACVR1
10027-101,Crizotinib,90,2,ACVR1
10027-999,Crizotinib,90,2,ACVR1
10028-102,BMS345541,90,10,ACVR1
10028-999,BMS345541,90,10,ACVR1
10035-101,Sigma A6730,90,10,ACVR1
10035-109,Sigma A6730,90,10,ACVR1
10037-101,AC220,90,10,ACVR1
10037-999,AC220,90,10,ACVR1
10038-101,WH-4-023,90,2,ACVR1
10039-101,WH-4-025,90,10,ACVR1
10040-101,R406,90,3,ACVR1
10040-999,R406,90,3,ACVR1
10041-101,BI-2536,90,10,ACVR1
10041-999,BI-2536,90,10,ACVR1
10042-101,Motesanib,90,10,ACVR1
10042-999,Motesanib,90,10,ACVR1
10043-101,KIN001-127,90,10,ACVR1
10045-101,A443654,90,10,ACVR1
10047-101,Pictilisib,90,10,ACVR1
10047-999,Pictilisib,90,10,ACVR1
10048-101,PD184352,90,10,ACVR1
10048-999,PD184352,90,10,ACVR1
10049-101,PLX-4720,90,10,ACVR1
10049-999,PLX-4720,90,10,ACVR1
10050-101,AZ-628,90,10,ACVR1
10051-104,Lapatinib,90,10,ACVR1
10051-999,Lapatinib,90,10,ACVR1
10053-101,ZSTK474,90,10,ACVR1
10055-101,BX-912,90,10,ACVR1
10056-101,Selumetinib,90,10,ACVR1
10056-999,Selumetinib,90,10,ACVR1
10058-101,CG-930,90,10,ACVR1
10059-101,AZD-6482,90,10,ACVR1
10061-101,NU7441,90,10,ACVR1
10064-101,WYE-125132,90,10,ACVR1
10066-101,MLN8054,90,10,ACVR1
10066-999,MLN8054,90,10,ACVR1
10067-101,Barasertib,90,10,ACVR1
10067-999,Barasertib,90,10,ACVR1
10068-101,Vemurafenib,90,10,ACVR1
10069-101,Enzastaurin,90,10,ACVR1
10069-999,Enzastaurin,90,10,ACVR1
10070-101,NPK76-II-72-1,90,10,ACVR1
10071-101,Palbociclib,90,3,ACVR1
10071-102,Palbociclib,90,3,ACVR1
10072-101,PF562271,90,3,ACVR1
10073-101,PHA-793887,90,10,ACVR1
10076-101,QL-XI-92,90,10,ACVR1
10080-101,Torin2,90,10,ACVR1
10082-101,WZ-4-145,90,10,ACVR1
10083-101,WZ-7043,90,10,ACVR1
10084-101,WZ3105,90,10,ACVR1
10085-101,WZ4002,90,10,ACVR1
10086-101,XMD11-50,90,10,ACVR1
10087-101,XMD11-85h,90,10,ACVR1
10089-101,XMD14-99,90,10,ACVR1
10090-101,XMD15-27,90,10,ACVR1
10093-101,XMD8-85,90,10,ACVR1
10094-101,XMD8-92,90,10,ACVR1
10096-101,ZM-447439,90,3,ACVR1
10097-101,Erlotinib,90,10,ACVR1
10097-102,Erlotinib,90,10,ACVR1
10097-999,Erlotinib,90,10,ACVR1
10098-101,Gefitinib,90,3,ACVR1
10098-999,Gefitinib,90,3,ACVR1
10099-101,Nilotinib,90,10,ACVR1
10099-999,Nilotinib,90,10,ACVR1
10101-101,PD0325901,90,10,ACVR1
10103-101,Staurosporine,90,2,ACVR1
10103-999,Staurosporine,90,2,ACVR1
10105-101,MPS-1-IN-1,90,10,ACVR1
10114-101,Pazopanib,90,10,ACVR1
10114-102,Pazopanib,90,10,ACVR1
10114-999,Pazopanib,90,10,ACVR1
10115-102,LDN-193189,90,1,ACVR1
10120-102,Canertinib,90,3,ACVR1
10120-999,Canertinib,90,3,ACVR1
10123-101,SGX523,90,10,ACVR1
10123-999,SGX523,90,10,ACVR1
10125-101,PHA-665752,90,10,ACVR1
10125-999,PHA-665752,90,10,ACVR1
10126-101,PI103,90,10,ACVR1
10126-102,PI103,90,10,ACVR1
10126-999,PI103,90,10,ACVR1
10128-101,GSK 690693,90,10,ACVR1
10128-999,GSK 690693,90,10,ACVR1
10129-101,Ibrutinib,90,10,ACVR1
10130-101,Masitinib,90,10,ACVR1
10130-999,Masitinib,90,10,ACVR1
10132-101,SNS-032,90,10,ACVR1
10132-999,SNS-032,90,10,ACVR1
10133-101,Afatinib,90,10,ACVR1
10133-999,Afatinib,90,10,ACVR1
10138-101,Ruxolitinib,90,3,ACVR1
10138-105,Ruxolitinib,90,3,ACVR1
10138-999,Ruxolitinib,90,3,ACVR1
10141-101,Fedratinib,90,2,ACVR1
10141-999,Fedratinib,90,2,ACVR1
10146-101,Omipalisib,90,10,ACVR1
10147-101,Buparlisib,90,10,ACVR1
10151-101,Nintedanib,90,2,ACVR1
10151-999,Nintedanib,90,2,ACVR1
10152-101,MK 1775,90,3,ACVR1
10157-101,Foretinib,90,10,ACVR1
10157-999,Foretinib,90,10,ACVR1
10159-101,Pelitinib,90,10,ACVR1
10162-101,SP600125,90,10,ACVR1
10165-101,PF04217903,90,3,ACVR1
10167-101,SB 203580,90,10,ACVR1
10167-999,SB 203580,90,10,ACVR1
10168-101,VX-745,90,10,ACVR1
10168-999,VX-745,90,10,ACVR1
10169-101,Doramapimod,90,10,ACVR1
10169-999,Doramapimod,90,10,ACVR1
10171-101,TGX221,90,10,ACVR1
10175-101,Sunitinib,90,10,ACVR1
10175-106,Sunitinib,90,10,ACVR1
10175-999,Sunitinib,90,10,ACVR1
10176-101,Y-27632,90,3,ACVR1
10177-101,Brivanib,90,10,ACVR1
10177-999,Brivanib,90,10,ACVR1
10181-101,GDC-0879,90,10,ACVR1
10181-999,GDC-0879,90,10,ACVR1
10182-101,Linifanib,90,10,ACVR1
10182-999,Linifanib,90,10,ACVR1
10183-101,BGJ398,90,10,ACVR1
10189-101,Bosutinib,90,10,ACVR1
10189-999,Bosutinib,90,10,ACVR1
10192-101,KW2449,90,2,ACVR1
10192-999,KW2449,90,2,ACVR1
10198-101,Vandetanib,90,2,ACVR1
10198-999,Vandetanib,90,2,ACVR1
10206-101,RAF 265,90,10,ACVR1
10206-999,RAF 265,90,10,ACVR1
10207-101,NVP-TAE226,90,3,ACVR1
10212-101,KIN001-021,90,10,ACVR1
10213-101,KIN001-111,90,10,ACVR1
10214-101,KIN001-123,90,10,ACVR1
10220-101,PKC412,90,10,ACVR1
10220-999,PKC412,90,10,ACVR1
10226-101,Tofacitinib,90,10,ACVR1
10226-108,Tofacitinib,90,10,ACVR1
10226-999,Tofacitinib,90,10,ACVR1
10229-101,KU63794,90,10,ACVR1
10230-101,Lestaurtinib,90,1,ACVR1
10230-999,Lestaurtinib,90,1,ACVR1
10232-101,Dactolisib,90,3,ACVR1
10233-101,Alpelisib,90,10,ACVR1
10255-101,GSK1838705A,90,10,ACVR1
10255-999,GSK1838705A,90,10,ACVR1
10285-101,PHA-767491,90,3,ACVR1
10286-102,BS-181,90,10,ACVR1
10287-101,Dinaciclib,90,10,ACVR1
10341-101,HG-14-8-02,90,10,ACVR1
10342-101,HG-14-10-04,90,10,ACVR1
10350-101,(s)-CR8,90,10,ACVR1
10355-101,CGP74514A,90,10,ACVR1
10363-101,JNK-IN-8,90,10,ACVR1
10364-101,MRT67307,90,10,ACVR1
10385-101,S-Ruxolitinib,90,3,ACVR1
10391-101,Alisertib,90,3,ACVR1
10399-102,Dorsomorphin,90,2,ACVR1
10401-101,GW2580,90,10,ACVR1
10408-101,Sotrastaurin,90,3,ACVR1
10426-101,Barasertib,90,3,ACVR1
10441-101,SB202190,90,3,ACVR1
10443-101,Axitinib,90,3,ACVR1
10444-101,Cediranib,90,3,ACVR1
10445-101,Taselisib,90,10,ACVR1
10447-101,EW-7197,90,10,ACVR1
10001-101,Seliciclib,91,10,ACVR1B
10002-101,ALW-II-38-3,91,10,ACVR1B
10003-101,ALW-II-49-7,91,10,ACVR1B
10004-101,AT-7519,91,10,ACVR1B
10004-102,AT-7519,91,10,ACVR1B
10004-999,AT-7519,91,10,ACVR1B
10008-101,Sorafenib,91,10,ACVR1B
10008-104,Sorafenib,91,10,ACVR1B
10008-999,Sorafenib,91,10,ACVR1B
10010-101,CP724714,91,10,ACVR1B
10011-101,Alvocidib,91,10,ACVR1B
10011-999,Alvocidib,91,10,ACVR1B
10012-101,GSK429286A,91,10,ACVR1B
10013-101,GSK461364,91,10,ACVR1B
10013-999,GSK461364,91,10,ACVR1B
10014-101,GW843682X,91,10,ACVR1B
10015-101,HG-5-113-01,91,10,ACVR1B
10016-101,HG-5-88-01,91,10,ACVR1B
10017-101,HG-6-64-01,91,10,ACVR1B
10018-101,Neratinib,91,10,ACVR1B
10018-999,Neratinib,91,10,ACVR1B
10019-101,JW-7-24-1,91,10,ACVR1B
10020-101,Dasatinib,91,2,ACVR1B
10020-999,Dasatinib,91,2,ACVR1B
10021-101,Tozasertib,91,10,ACVR1B
10021-999,Tozasertib,91,10,ACVR1B
10023-103,Imatinib,91,10,ACVR1B
10023-999,Imatinib,91,10,ACVR1B
10024-101,NVP-TAE684,91,1,ACVR1B
10024-999,NVP-TAE684,91,1,ACVR1B
10025-101,CGP60474,91,10,ACVR1B
10026-101,PD173074,91,10,ACVR1B
10027-101,Crizotinib,91,2,ACVR1B
10027-999,Crizotinib,91,2,ACVR1B
10028-102,BMS345541,91,10,ACVR1B
10028-999,BMS345541,91,10,ACVR1B
10035-101,Sigma A6730,91,10,ACVR1B
10035-109,Sigma A6730,91,10,ACVR1B
10037-101,AC220,91,10,ACVR1B
10037-999,AC220,91,10,ACVR1B
10039-101,WH-4-025,91,10,ACVR1B
10040-101,R406,91,3,ACVR1B
10040-999,R406,91,3,ACVR1B
10041-101,BI-2536,91,10,ACVR1B
10041-999,BI-2536,91,10,ACVR1B
10042-101,Motesanib,91,10,ACVR1B
10042-999,Motesanib,91,10,ACVR1B
10043-101,KIN001-127,91,10,ACVR1B
