.identifier_batch	.identifier_sample_name	.metadata_moa_1	.metadata_moa_2	.metadata_treatment_remarks	.metadata_treatment_1	.metadata_treatment_2	.response_aoc	.response_bliss	.metadata_cancer_type	.metadata_cancer_subtype
Oncolead_000	ONCOLEAD_CELL_HT1080	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.37780139	sarcoma	sarcoma - fibrosarcoma
Oncolead_000	ONCOLEAD_CELL_HT29	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.275647389	colon	colon
Oncolead_000	ONCOLEAD_CELL_IGROV1	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.409557325	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_J82	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.292787698	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_JIMT1	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.195771819	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_LOVO	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.416529896	colon	colon
Oncolead_000	ONCOLEAD_CELL_MDAMB231	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.23378588	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB435	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.427566556	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB436	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.407946221	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.303592435	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MHHES1	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.5269651870000001	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_MIAPACA2	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.463572299	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_MT3	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.403856396	colon	colon
Oncolead_000	ONCOLEAD_CELL_NCIH292	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.45592586	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH358M	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.219066717	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH460	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.437874952	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH82	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.138189457	lung	lung - SCLC
Oncolead_000	ONCOLEAD_CELL_OVCAR3	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.361833653	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_OVCAR4	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.277349732	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_PANC1	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.201146882	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_PC3	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.42313627	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_PLCPRF5	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.230130797	liver	liver
Oncolead_000	ONCOLEAD_CELL_RD	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.160029888	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_RDES	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.378043051	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_SAOS2	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.323286063	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_SF268	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.351713524	brain	brain - astrocytoma
Oncolead_000	ONCOLEAD_CELL_SF295	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.367015567	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_SKBR3	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.371635503	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_SKLMS1	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.426248987	sarcoma	sarcoma - leiomyosarcoma
Oncolead_000	ONCOLEAD_CELL_SKMEL28	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.168542792	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SKMEL5	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.378857489	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SW620	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.306752049	colon	colon
Oncolead_000	ONCOLEAD_CELL_T24	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.405784995	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_TE671	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.215458158	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_U2OS	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.230603371	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_U87MG	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.265799489	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_UMUC3	Cytostatic_Antibiotic	ATMi	1uM	Bleomycin	M3541	NA	0.463136615	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_A204	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.45866797	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A2780	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.803090888	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A549	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.6529366010000001	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_ASPC1	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.181327065	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.353585951	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_CACO2	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.116440145	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.312502785	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.657701258	colon	colon
Oncolead_000	ONCOLEAD_CELL_DU145	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.578156243	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_EFO21	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.322162095	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EJ28	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.7828539609999999	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_HCT15	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.552279628	colon	colon
Oncolead_000	ONCOLEAD_CELL_HEPG2	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.343151445	liver	liver
Oncolead_000	ONCOLEAD_CELL_HS578T	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.441389242	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS729	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.209491338	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_HT1080	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.380204084	sarcoma	sarcoma - fibrosarcoma
Oncolead_000	ONCOLEAD_CELL_HT29	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.198564639	colon	colon
Oncolead_000	ONCOLEAD_CELL_IGROV1	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.5674576729999999	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_J82	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.32970318	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_JIMT1	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.134641732	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_LOVO	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.631230877	colon	colon
Oncolead_000	ONCOLEAD_CELL_MDAMB231	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.293249996	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB435	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.510897754	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB436	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.465754191	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.381868235	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MHHES1	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.744901197	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_MIAPACA2	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.6471696	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_MT3	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.768603881	colon	colon
Oncolead_000	ONCOLEAD_CELL_NCIH292	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.61020002	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH358M	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.241388695	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH460	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.547671486	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH82	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.203561311	lung	lung - SCLC
Oncolead_000	ONCOLEAD_CELL_OVCAR3	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.345053923	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_OVCAR4	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.2617225	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_PANC1	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.272825739	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_PC3	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.601869361	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_PLCPRF5	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.1458396069999999	liver	liver
Oncolead_000	ONCOLEAD_CELL_RD	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.187813501	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_RDES	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.423032733	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_SAOS2	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.302151519	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_SF268	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.549277491	brain	brain - astrocytoma
Oncolead_000	ONCOLEAD_CELL_SF295	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.588975128	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_SKBR3	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.092433867	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_SKLMS1	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.289969971	sarcoma	sarcoma - leiomyosarcoma
Oncolead_000	ONCOLEAD_CELL_SKMEL28	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.252528553	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SKMEL5	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.518040331	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_SW620	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.300589651	colon	colon
Oncolead_000	ONCOLEAD_CELL_T24	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.616685052	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_TE671	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.169999403	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_U2OS	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.266092277	sarcoma	sarcoma - osteosarcoma
Oncolead_000	ONCOLEAD_CELL_U87MG	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.396651358	brain	brain - GBM
Oncolead_000	ONCOLEAD_CELL_UMUC3	Cytostatic_Antibiotic	DNAPKi	150nM	Bleomycin	M3814	NA	0.604201709	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_A204	IR	ATMi	NA	GAMMA	M3541	NA	0.00093585	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A204	IR	ATMi	3Gy	GAMMA	M3541	NA	-0.000389094	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_A2780	IR	ATMi	NA	GAMMA	M3541	NA	0.102592746	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A2780	IR	ATMi	3Gy	GAMMA	M3541	NA	0.149111074	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_A549	IR	ATMi	NA	GAMMA	M3541	NA	0.098046807	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_A549	IR	ATMi	3Gy	GAMMA	M3541	NA	0.104211914	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_ASPC1	IR	ATMi	NA	GAMMA	M3541	NA	-0.003768155	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_ASPC1	IR	ATMi	3Gy	GAMMA	M3541	NA	0.029710904	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	IR	ATMi	NA	GAMMA	M3541	NA	0.168509772	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_BXPC3	IR	ATMi	3Gy	GAMMA	M3541	NA	0.193406151	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_CACO2	IR	ATMi	NA	GAMMA	M3541	NA	0.030115989	colon	colon
Oncolead_000	ONCOLEAD_CELL_CACO2	IR	ATMi	3Gy	GAMMA	M3541	NA	0.051383711	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	IR	ATMi	NA	GAMMA	M3541	NA	0.177881574	colon	colon
Oncolead_000	ONCOLEAD_CELL_COLO205	IR	ATMi	3Gy	GAMMA	M3541	NA	0.254393009	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	IR	ATMi	NA	GAMMA	M3541	NA	0.115807725	colon	colon
Oncolead_000	ONCOLEAD_CELL_DLD1	IR	ATMi	3Gy	GAMMA	M3541	NA	0.166182104	colon	colon
Oncolead_000	ONCOLEAD_CELL_DU145	IR	ATMi	NA	GAMMA	M3541	NA	0.190372435	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_DU145	IR	ATMi	3Gy	GAMMA	M3541	NA	0.262097732	prostate	prostate
Oncolead_000	ONCOLEAD_CELL_EFO21	IR	ATMi	NA	GAMMA	M3541	NA	0.060531774	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EFO21	IR	ATMi	3Gy	GAMMA	M3541	NA	0.063343929	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_EJ28	IR	ATMi	NA	GAMMA	M3541	NA	0.18107959	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_EJ28	IR	ATMi	3Gy	GAMMA	M3541	NA	0.286415062	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_HCT15	IR	ATMi	NA	GAMMA	M3541	NA	0.087033775	colon	colon
Oncolead_000	ONCOLEAD_CELL_HCT15	IR	ATMi	3Gy	GAMMA	M3541	NA	0.153512862	colon	colon
Oncolead_000	ONCOLEAD_CELL_HEPG2	IR	ATMi	NA	GAMMA	M3541	NA	0.050202357	liver	liver
Oncolead_000	ONCOLEAD_CELL_HEPG2	IR	ATMi	3Gy	GAMMA	M3541	NA	0.12546469	liver	liver
Oncolead_000	ONCOLEAD_CELL_HL60	IR	ATMi	NA	GAMMA	M3541	NA	0.067114569	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_HL60	IR	ATMi	3Gy	GAMMA	M3541	NA	0.076821456	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_HS578T	IR	ATMi	NA	GAMMA	M3541	NA	0.123647482	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS578T	IR	ATMi	3Gy	GAMMA	M3541	NA	0.130146872	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_HS729	IR	ATMi	NA	GAMMA	M3541	NA	0.0840709569999999	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_HS729	IR	ATMi	3Gy	GAMMA	M3541	NA	0.075650962	sarcoma	sarcoma - rhabdomyosarcoma
Oncolead_000	ONCOLEAD_CELL_HT1080	IR	ATMi	NA	GAMMA	M3541	NA	0.182314803	sarcoma	sarcoma - fibrosarcoma
Oncolead_000	ONCOLEAD_CELL_HT1080	IR	ATMi	3Gy	GAMMA	M3541	NA	0.183951313	sarcoma	sarcoma - fibrosarcoma
Oncolead_000	ONCOLEAD_CELL_HT29	IR	ATMi	NA	GAMMA	M3541	NA	0.193409439	colon	colon
Oncolead_000	ONCOLEAD_CELL_HT29	IR	ATMi	3Gy	GAMMA	M3541	NA	0.246130549	colon	colon
Oncolead_000	ONCOLEAD_CELL_IGROV1	IR	ATMi	NA	GAMMA	M3541	NA	0.055314694	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_IGROV1	IR	ATMi	3Gy	GAMMA	M3541	NA	0.057943214	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_J82	IR	ATMi	NA	GAMMA	M3541	NA	0.05654533	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_J82	IR	ATMi	3Gy	GAMMA	M3541	NA	0.118089747	bladder	bladder
Oncolead_000	ONCOLEAD_CELL_JIMT1	IR	ATMi	NA	GAMMA	M3541	NA	0.051720446	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_JIMT1	IR	ATMi	3Gy	GAMMA	M3541	NA	0.062025045	breast	breast - HER2+
Oncolead_000	ONCOLEAD_CELL_KASUMI1	IR	ATMi	NA	GAMMA	M3541	NA	-0.0408864	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_KASUMI1	IR	ATMi	3Gy	GAMMA	M3541	NA	-0.019641769	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_L363	IR	ATMi	NA	GAMMA	M3541	NA	0.013967183	hematological	heme - myeloma
Oncolead_000	ONCOLEAD_CELL_L363	IR	ATMi	3Gy	GAMMA	M3541	NA	-0.004704275	hematological	heme - myeloma
Oncolead_000	ONCOLEAD_CELL_LOVO	IR	ATMi	NA	GAMMA	M3541	NA	0.034369181	colon	colon
Oncolead_000	ONCOLEAD_CELL_LOVO	IR	ATMi	3Gy	GAMMA	M3541	NA	0.054517039	colon	colon
Oncolead_000	ONCOLEAD_CELL_MDAMB231	IR	ATMi	NA	GAMMA	M3541	NA	0.14484552	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB231	IR	ATMi	3Gy	GAMMA	M3541	NA	0.180161878	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB435	IR	ATMi	NA	GAMMA	M3541	NA	0.07938714	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB435	IR	ATMi	3Gy	GAMMA	M3541	NA	0.150573224	melanoma	melanoma
Oncolead_000	ONCOLEAD_CELL_MDAMB436	IR	ATMi	NA	GAMMA	M3541	NA	0.041324376	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB436	IR	ATMi	3Gy	GAMMA	M3541	NA	0.059641891	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	IR	ATMi	NA	GAMMA	M3541	NA	0.056700474	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MDAMB468	IR	ATMi	3Gy	GAMMA	M3541	NA	0.075174326	breast	breast - TNBC
Oncolead_000	ONCOLEAD_CELL_MHHES1	IR	ATMi	NA	GAMMA	M3541	NA	0.161315088	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_MHHES1	IR	ATMi	3Gy	GAMMA	M3541	NA	0.255207942	sarcoma	sarcoma - ewings
Oncolead_000	ONCOLEAD_CELL_MIAPACA2	IR	ATMi	NA	GAMMA	M3541	NA	0.167501558	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_MIAPACA2	IR	ATMi	3Gy	GAMMA	M3541	NA	0.280475964	pancreas	pancreas
Oncolead_000	ONCOLEAD_CELL_MINO	IR	ATMi	NA	GAMMA	M3541	NA	0.029144261	hematological	heme - mantle cell lymphoma
Oncolead_000	ONCOLEAD_CELL_MINO	IR	ATMi	3Gy	GAMMA	M3541	NA	0.031377655	hematological	heme - mantle cell lymphoma
Oncolead_000	ONCOLEAD_CELL_MT3	IR	ATMi	NA	GAMMA	M3541	NA	-0.009659833	colon	colon
Oncolead_000	ONCOLEAD_CELL_MT3	IR	ATMi	3Gy	GAMMA	M3541	NA	0.015078303	colon	colon
Oncolead_000	ONCOLEAD_CELL_MV411	IR	ATMi	NA	GAMMA	M3541	NA	-0.010017152	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_MV411	IR	ATMi	3Gy	GAMMA	M3541	NA	-0.017534847	hematological	heme - AML
Oncolead_000	ONCOLEAD_CELL_NCIH292	IR	ATMi	NA	GAMMA	M3541	NA	-0.004105148	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH292	IR	ATMi	3Gy	GAMMA	M3541	NA	-0.009160916	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH358M	IR	ATMi	NA	GAMMA	M3541	NA	0.002340078	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH358M	IR	ATMi	3Gy	GAMMA	M3541	NA	-0.020116672	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH460	IR	ATMi	NA	GAMMA	M3541	NA	0.058049654	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH460	IR	ATMi	3Gy	GAMMA	M3541	NA	0.117183119	lung	lung - NSCLC
Oncolead_000	ONCOLEAD_CELL_NCIH82	IR	ATMi	NA	GAMMA	M3541	NA	0.067186107	lung	lung - SCLC
Oncolead_000	ONCOLEAD_CELL_NCIH82	IR	ATMi	3Gy	GAMMA	M3541	NA	0.133391271	lung	lung - SCLC
Oncolead_000	ONCOLEAD_CELL_OVCAR3	IR	ATMi	NA	GAMMA	M3541	NA	0.115134749	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_OVCAR3	IR	ATMi	3Gy	GAMMA	M3541	NA	0.113533397	ovary	ovary
Oncolead_000	ONCOLEAD_CELL_OVCAR4	IR	ATMi	NA	GAMMA	M3541	NA	-0.00643898	ovary	ovary
